workflow_label,cycle
awaiting security release,build track phase 2
blocked,build track phase 2
complete,build track phase 3
design,validation track phase 3
in dev,build track phase 2
in review,build track phase 2
planning breakdown,build track phase 1
problem validation,validation track phase 2
ready for design,validation track phase 3
ready for development,build track phase 1
refinement,build track phase 1
scheduling,build track phase 1
solution validation,validation track phase 4
validation backlog,validation track phase 1
verification,build track phase 2
